t,id,lat_deg,lon_deg,alt_m,yaw_deg
0.0,0,32.000000000,126.000000000,0.0000,0.0000
0.0,1,32.125000000,126.030000000,0.0000,270.0000
0.0,2,32.120000000,126.000000000,300.0000,180.0000
0.1,0,32.000000000,126.000000000,0.0000,0.0000
0.1,1,32.125000000,126.029968208,0.0000,270.0000
0.1,2,32.119819648,126.000000000,300.0001,180.0000
0.2,0,32.000000000,126.000000000,0.0000,0.0000
0.2,1,32.125000000,126.029936417,0.0000,270.0000
0.2,2,32.119639296,126.000000000,300.0001,180.0000
0.3,0,32.000000000,126.000000000,0.0000,0.0000
0.3,1,32.125000000,126.029904625,0.0000,270.0000
0.3,2,32.119458943,126.000000000,300.0001,180.0000
0.4,0,32.000000000,126.000000000,0.0000,0.0000
0.4,1,32.125000000,126.029872834,0.0000,270.0000
0.4,2,32.119278591,126.000000000,300.0002,180.0000
0.5,0,32.000000000,126.000000000,0.0000,0.0000
0.5,1,32.125000000,126.029841042,0.0000,270.0000
0.5,2,32.119098239,126.000000000,300.0002,180.0000
0.6,0,32.000000000,126.000000000,0.0000,0.0000
0.6,1,32.125000000,126.029809251,0.0000,270.0000
0.6,2,32.118917887,126.000000000,300.0002,180.0000
0.7,0,32.000000000,126.000000000,0.0000,0.0000
0.7,1,32.125000000,126.029777459,0.0000,270.0000
0.7,2,32.118737535,126.000000000,300.0003,180.0000
0.8,0,32.000000000,126.000000000,0.0000,0.0000
0.8,1,32.125000000,126.029745668,0.0000,270.0000
0.8,2,32.118557182,126.000000000,300.0003,180.0000
0.9,0,32.000000000,126.000000000,0.0000,0.0000
0.9,1,32.125000000,126.029713876,0.0000,270.0000
0.9,2,32.118376830,126.000000000,300.0003,180.0000
1.0,0,32.000000000,126.000000000,0.0000,0.0000
1.0,1,32.125000000,126.029682085,0.0000,270.0000
1.0,2,32.118196478,126.000000000,300.0003,180.0000
1.1,0,32.000000000,126.000000000,0.0000,0.0000
1.1,1,32.125000000,126.029650293,0.0000,270.0000
1.1,2,32.118016126,126.000000000,300.0004,180.0000
1.2,0,32.000000000,126.000000000,0.0000,0.0000
1.2,1,32.125000000,126.029618501,0.0000,270.0000
1.2,2,32.117835774,126.000000000,300.0004,180.0000
1.3,0,32.000000000,126.000000000,0.0000,0.0000
1.3,1,32.125000000,126.029586710,0.0000,270.0000
1.3,2,32.117655421,126.000000000,300.0004,180.0000
1.4,0,32.000000000,126.000000000,0.0000,0.0000
1.4,1,32.125000000,126.029554918,0.0000,270.0000
1.4,2,32.117475069,126.000000000,300.0005,180.0000
1.5,0,32.000000000,126.000000000,0.0000,0.0000
1.5,1,32.125000000,126.029523127,0.0000,270.0000
1.5,2,32.117294717,126.000000000,300.0005,180.0000
1.6,0,32.000000000,126.000000000,0.0000,0.0000
1.6,1,32.125000000,126.029491335,0.0000,270.0000
1.6,2,32.117114365,126.000000000,300.0005,180.0000
1.7,0,32.000000000,126.000000000,0.0000,0.0000
1.7,1,32.125000000,126.029459544,0.0000,270.0000
1.7,2,32.116934012,126.000000000,300.0006,180.0000
1.8,0,32.000000000,126.000000000,0.0000,0.0000
1.8,1,32.125000000,126.029427752,0.0000,270.0000
1.8,2,32.116753660,126.000000000,300.0006,180.0000
1.9,0,32.000000000,126.000000000,0.0000,0.0000
1.9,1,32.125000000,126.029395961,0.0000,270.0000
1.9,2,32.116573308,126.000000000,300.0006,180.0000
2.0,0,32.000000000,126.000000000,0.0000,0.0000
2.0,1,32.125000000,126.029364169,0.0000,270.0000
2.0,2,32.116392956,126.000000000,300.0007,180.0000
2.1,0,32.000000000,126.000000000,0.0000,0.0000
2.1,1,32.125000000,126.029332378,0.0000,270.0000
2.1,2,32.116212603,126.000000000,300.0007,180.0000
2.2,0,32.000000000,126.000000000,0.0000,0.0000
2.2,1,32.125000000,126.029300586,0.0000,270.0000
2.2,2,32.116032251,126.000000000,300.0007,180.0000
2.3,0,32.000000000,126.000000000,0.0000,0.0000
2.3,1,32.125000000,126.029268795,0.0000,270.0000
2.3,2,32.115851899,126.000000000,300.0008,180.0000
2.4,0,32.000000000,126.000000000,0.0000,0.0000
2.4,1,32.125000000,126.029237003,0.0000,270.0000
2.4,2,32.115671546,126.000000000,300.0008,180.0000
2.5,0,32.000000000,126.000000000,0.0000,0.0000
2.5,1,32.125000000,126.029205211,0.0000,270.0000
2.5,2,32.115491194,126.000000000,300.0008,180.0000
2.6,0,32.000000000,126.000000000,0.0000,0.0000
2.6,1,32.125000000,126.029173420,0.0000,270.0000
2.6,2,32.115310842,126.000000000,300.0008,180.0000
2.7,0,32.000000000,126.000000000,0.0000,0.0000
2.7,1,32.125000000,126.029141628,0.0000,270.0000
2.7,2,32.115130490,126.000000000,300.0009,180.0000
2.8,0,32.000000000,126.000000000,0.0000,0.0000
2.8,1,32.125000000,126.029109837,0.0001,270.0000
2.8,2,32.114950137,126.000000000,300.0009,180.0000
2.9,0,32.000000000,126.000000000,0.0000,0.0000
2.9,1,32.125000000,126.029078045,0.0001,270.0000
2.9,2,32.114769785,126.000000000,300.0009,180.0000
3.0,0,32.000000000,126.000000000,0.0000,0.0000
3.0,1,32.125000000,126.029046254,0.0001,270.0000
3.0,2,32.114589433,126.000000000,300.0010,180.0000
3.1,0,32.000000000,126.000000000,0.0000,0.0000
3.1,1,32.125000000,126.029014462,0.0001,270.0000
3.1,2,32.114409080,126.000000000,300.0010,180.0000
3.2,0,32.000000000,126.000000000,0.0000,0.0000
3.2,1,32.125000000,126.028982671,0.0001,270.0000
3.2,2,32.114228728,126.000000000,300.0010,180.0000
3.3,0,32.000000000,126.000000000,0.0000,0.0000
3.3,1,32.125000000,126.028950879,0.0001,270.0000
3.3,2,32.114048376,126.000000000,300.0011,180.0000
3.4,0,32.000000000,126.000000000,0.0000,0.0000
3.4,1,32.125000000,126.028919088,0.0001,270.0000
3.4,2,32.113868023,126.000000000,300.0011,180.0000
3.5,0,32.000000000,126.000000000,0.0000,0.0000
3.5,1,32.125000000,126.028887296,0.0001,270.0000
3.5,2,32.113687671,126.000000000,300.0011,180.0000
3.6,0,32.000000000,126.000000000,0.0000,0.0000
3.6,1,32.125000000,126.028855504,0.0001,270.0000
3.6,2,32.113507319,126.000000000,300.0012,180.0000
3.7,0,32.000000000,126.000000000,0.0000,0.0000
3.7,1,32.125000000,126.028823713,0.0001,270.0000
3.7,2,32.113326966,126.000000000,300.0012,180.0000
3.8,0,32.000000000,126.000000000,0.0000,0.0000
3.8,1,32.125000000,126.028791921,0.0001,270.0000
3.8,2,32.113146614,126.000000000,300.0012,180.0000
3.9,0,32.000000000,126.000000000,0.0000,0.0000
3.9,1,32.125000000,126.028760130,0.0001,270.0000
3.9,2,32.112966262,126.000000000,300.0013,180.0000
4.0,0,32.000000000,126.000000000,0.0000,0.0000
4.0,1,32.125000000,126.028728338,0.0001,270.0000
4.0,2,32.112785909,126.000000000,300.0013,180.0000
4.1,0,32.000000000,126.000000000,0.0000,0.0000
4.1,1,32.125000000,126.028696547,0.0001,270.0000
4.1,2,32.112605557,126.000000000,300.0013,180.0000
4.2,0,32.000000000,126.000000000,0.0000,0.0000
4.2,1,32.125000000,126.028664755,0.0001,270.0000
4.2,2,32.112425204,126.000000000,300.0014,180.0000
4.3,0,32.000000000,126.000000000,0.0000,0.0000
4.3,1,32.125000000,126.028632964,0.0001,270.0000
4.3,2,32.112244852,126.000000000,300.0014,180.0000
4.4,0,32.000000000,126.000000000,0.0000,0.0000
4.4,1,32.125000000,126.028601172,0.0001,270.0000
4.4,2,32.112064500,126.000000000,300.0014,180.0000
4.5,0,32.000000000,126.000000000,0.0000,0.0000
4.5,1,32.125000000,126.028569381,0.0001,270.0000
4.5,2,32.111884147,126.000000000,300.0014,180.0000
4.6,0,32.000000000,126.000000000,0.0000,0.0000
4.6,1,32.125000000,126.028537589,0.0001,270.0000
4.6,2,32.111703795,126.000000000,300.0015,180.0000
4.7,0,32.000000000,126.000000000,0.0000,0.0000
4.7,1,32.125000000,126.028505798,0.0001,270.0000
4.7,2,32.111523442,126.000000000,300.0015,180.0000
4.8,0,32.000000000,126.000000000,0.0000,0.0000
4.8,1,32.125000000,126.028474006,0.0001,270.0000
4.8,2,32.111343090,126.000000000,300.0015,180.0000
4.9,0,32.000000000,126.000000000,0.0000,0.0000
4.9,1,32.125000000,126.028442214,0.0001,270.0000
4.9,2,32.111162738,126.000000000,300.0016,180.0000
5.0,0,32.000000000,126.000000000,0.0000,0.0000
5.0,1,32.125000000,126.028410423,0.0001,270.0000
5.0,2,32.110982385,126.000000000,300.0016,180.0000
5.1,0,32.000000000,126.000000000,0.0000,0.0000
5.1,1,32.125000000,126.028378631,0.0001,270.0000
5.1,2,32.110802033,126.000000000,300.0016,180.0000
5.2,0,32.000000000,126.000000000,0.0000,0.0000
5.2,1,32.125000000,126.028346840,0.0001,270.0000
5.2,2,32.110621680,126.000000000,300.0017,180.0000
5.3,0,32.000000000,126.000000000,0.0000,0.0000
5.3,1,32.125000000,126.028315048,0.0001,270.0000
5.3,2,32.110441328,126.000000000,300.0017,180.0000
5.4,0,32.000000000,126.000000000,0.0000,0.0000
5.4,1,32.125000000,126.028283257,0.0001,270.0000
5.4,2,32.110260975,126.000000000,300.0017,180.0000
5.5,0,32.000000000,126.000000000,0.0000,0.0000
5.5,1,32.125000000,126.028251465,0.0001,270.0000
5.5,2,32.110080623,126.000000000,300.0018,180.0000
5.6,0,32.000000000,126.000000000,0.0000,0.0000
5.6,1,32.125000000,126.028219674,0.0001,270.0000
5.6,2,32.109900270,126.000000000,300.0018,180.0000
5.7,0,32.000000000,126.000000000,0.0000,0.0000
5.7,1,32.125000000,126.028187882,0.0001,270.0000
5.7,2,32.109719918,126.000000000,300.0018,180.0000
5.8,0,32.000000000,126.000000000,0.0000,0.0000
5.8,1,32.125000000,126.028156091,0.0001,270.0000
5.8,2,32.109539566,126.000000000,300.0019,180.0000
5.9,0,32.000000000,126.000000000,0.0000,0.0000
5.9,1,32.125000000,126.028124299,0.0001,270.0000
5.9,2,32.109359213,126.000000000,300.0019,180.0000
6.0,0,32.000000000,126.000000000,0.0000,0.0000
6.0,1,32.125000000,126.028092507,0.0001,270.0000
6.0,2,32.109178861,126.000000000,300.0019,180.0000
6.1,0,32.000000000,126.000000000,0.0000,0.0000
6.1,1,32.125000000,126.028060716,0.0001,270.0000
6.1,2,32.108998508,126.000000000,300.0020,180.0000
6.2,0,32.000000000,126.000000000,0.0000,0.0000
6.2,1,32.125000000,126.028028924,0.0001,270.0000
6.2,2,32.108818156,126.000000000,300.0020,180.0000
